name_original,name,songer_code,circuit_original,circuit,id,pres,appres,yearl,yearb,yeard,pleft,left,party,district,state,city,gender,race,amon,ayear,crossl,crossa,___l,___j,___char,elevate,pred,dcother,recess,appt,temp,trans,assets,liable,aba,abamin,dsenate,rsenate,dhouse,rhouse,fhouse,fsenate,drhouse,drsenate,whouse,wsenate,nrhouse,nrsenate,dsens,rsens,dummy,tperm,fsens,drsens,wsens,nrsens,osens,yeari,yearc,congress,unity,e1,e2,e3,e4,e5,e6,congresi,unityi,hdem,hrep,sdem,srep,hother,sother,yearo,e7,e8,congreso,unityo,cityb,religion,badeg,bastate,bastatus,jddeg,jdstate,jdstatus,grad1,grad2,networth,agego,service,ageon,csb,ba,bast,bapp,ls,lsst,jdpp,graddeg1,graddeg2,pssc,pslc,plocct,psjdget,pausa,pusa,psgo,psg,pago,pag,pcc,psp,pmag,pbank,pterr,pcab,pasatty,psatty,pcabdept,pscab,pscabdpt,paag,pindreg1,preg1,preg2,preg3,phouse,psenate,pgov,statecab,state2,pssenate,pshouse,pmayor,pccoun,pccom,pada,pda,plother,plotherl,plawprof,pprivate,recdate
"Rhoades, John S., Sr.","Rhoades, John S., Sr.",20961,9,Ninth,12350,Reagan,Republican,1995,1925,9999,Clinton,Retired,Republican,Southern,California,"San Diego, CA",Male,White,October,1985,1,Same Party,,,,,10570,,Not Recess Appt.,0,0,0,1000000,,Qualified,,47,53,253,182,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1985,1995,104TH,1,203,231,48,52,1,,99TH,"Divided, House",253,182,47,53,0,0,1995,,,104TH,1,6105,99,82,0,1,253,0,0,,,1000000,70,10,60,"Havre, MT",82,0,1,253,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,
"Rice, Ben Herbert, Jr.","Rice, Ben Herbert, Jr.",20556,5,Fifth,12360,Truman,Democrat,1964,1889,1964,L.B. Johnson,Died,Democrat,Western,Texas,"Austin, TX",Male,White,September,1945,0,Same Party,,,,,6230,,Not Recess Appt.,0,0,0,,,Not Rated,,57,38,243,190,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1945,1964,88TH,0,258,176,67,33,1,,79TH,Unified,243,190,57,38,2,1,1964,,,88TH,0,5280,10,86,0,0,86,0,0,10,,,75,19,56,"Marlin, TX",86,0,0,86,0,0,10,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,
"Rice, Walter Herbert","Rice, Walter Herbert",20604,6,Sixth,12380,Carter,Democrat,2004,1937,9999,"Bush, 43",Retired,Democrat,Southern,Ohio,"Dayton, OH",Male,White,May,1980,2,Same Party,,,,,4940,,Not Recess Appt.,0,0,0,194544,,Well-Qual.,,58,41,277,158,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1980,2004,108TH,0,205,228,48,51,1,1,96TH,Unified,277,158,59,41,0,0,2004,,,108TH,0,3870,5,63,1,1,20,1,1,33,,194544,67,24,43,"Pittsburgh, PA",63,1,1,20,1,1,33,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,
"Rice, Eugene","Rice, Eugene",11051,10,Tenth,12370,F. Roosevelt,Democrat,1963,1891,1967,L.B. Johnson,Retired,Democrat,Eastern,Oklahoma,"Muskogee, OK",Male,White,August,1937,0,Same Party,,,,,20400,,Not Recess Appt.,0,0,0,,,Not Rated,,75,17,333,89,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1937,1963,88TH,0,258,176,67,33,1,,75TH,Unified,333,89,75,17,13,4,1963,,,88TH,0,5286,10,532,,1,91,1,1,,,,72,26,46,"Union City, TN",532,,1,91,1,1,,,,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,
"Richey, Mary Anne","Richey, Mary Anne",30921,9,Ninth,12410,Ford,Republican,1983,1917,1983,Reagan,Died,Republican,Entire State,Arizona,"Tucson, AZ",Female,White,June,1976,0,Same Party,,,,,18520,,Not Recess Appt.,0,0,0,,,Well-Qual.,,61,37,291,144,0,0,0,0,0,0,0,0,0,2,1,,,,,,,1976,1983,98TH,2,269,166,46,54,,,94TH,"Divided, Both",291,144,61,38,0,0,1983,,,98TH,2,1477,7,0,2,2,5,0,0,,,,66,7,59,"Shelbyville, IN",0,2,2,5,0,0,,,,,1,12,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,
"Richey, Charles R.","Richey, Charles R.",11242,12,D.C.,12400,Nixon,Republican,1997,1923,1997,Clinton,Died,Republican,Entire State,D.C.,District of Columbia,Male,White,April,1971,1,Same Party,,,,,2200,Maryland,Not Recess Appt.,0,0,0,,,Qualified,,54,44,255,180,0,0,0,0,0,0,0,0,,,1,,,,,,,1971,1997,105TH,1,207,227,45,55,1,,92ND,"Divided, Both",225,180,55,45,0,0,1997,,,105TH,1,6097,10,163,1,1,15,1,1,,,,74,26,48,"Logan County, OH",163,1,1,15,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,74,,,,,,108,,,,,,,,,1,126,,1,
"Ricks, Augustus J.","Ricks, Augustus J.",,6,Sixth,12420,B. Harrison,Republican,1906,1843,1906,T. Roosevelt,Resigned,Republican,Northern,Ohio,"Cleveland, OH",Male,White,July,1889,0,Same Party,,,,,19390,,Conf. Recess Appt.,0,0,0,,,Not Rated,,37,47,156,173,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1889,1906,59TH,0,136,250,32,58,,,51ST,Unified,156,173,37,47,1,0,1906,,,59TH,0,5917,7,143,0,1,108,3,3,,,,63,17,46,"Brookfield, OH",143,0,1,108,3,3,,,,,,,,,,,,,,,,,,,,,,,,,1,90,91,115,,,,,,,,,,,,,,,,1,7/1/1889
"Ridge, Albert Alphonse","Ridge, Albert Alphonse",10876,8,Eighth,12440,F. Roosevelt,Democrat,1961,1898,1967,Kennedy,Elevated,Democrat,Western,Missouri,"Kansas City, MO",Male,White,April,1945,0,Same Party,,,,,11000,,Not Recess Appt.,0,0,0,,,Not Rated,,57,38,243,190,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1945,1961,87TH,0,263,174,64,36,,,79TH,Unified,243,190,57,38,2,1,1961,,,87TH,0,2545,4,0,2,2,108,3,3,,,,63,16,47,"Nevada, MO",0,2,2,108,3,3,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,111,,1,
"Rifkind, Simon Hirsch","Rifkind, Simon Hirsch",20223,2,Second,12460,F. Roosevelt,Democrat,1950,1901,,Truman,Resigned,Democrat,Southern,New York,"New York, NY",Male,White,June,1941,0,Same Party,,,,,0,,Not Recess Appt.,0,,0,,,Not Rated,,66,28,267,162,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1941,1950,81ST,0,263,171,54,42,1,,77TH,Unified,267,162,66,28,6,2,1950,,,81ST,0,5635,5,114,0,0,20,0,1,,,,49,9,40,Russia,114,0,0,20,0,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,74,,,,,,,,,,,,,,,,,,1,
"Riley, Paul E.","Riley, Paul E.",20732,7,Seventh,23765,Clinton,Democrat,1999,1942,9999,Clinton,Retired,Democrat,Southern,Illinois,"Edwardsville, IL",Male,White,October,1994,2,Same Party,14,15,E,,,,Not Recess Appt.,1,,,417323,,Well-Qual.,Qualified,56,44,259,176,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1994,1999,106TH,1,211,223,45,55,1,,103RD,Unified,258,176,57,43,1,0,1999,,,106TH,1,1310,4,81,1,1,81,1,1,0,0,417323,57,5,52,"Alton, IL",81,1,1,81,1,1,0,0,,1,,9,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,1,68,,1,
"Riley, William F.","Riley, William F.",10877,8,Eighth,12470,Truman,Democrat,1956,1884,1956,Eisenhower,Died,Democrat,Southern,Iowa,"Des Moines, IA",Male,White,December,1950,1,Same Party,,,,,2460,,Not Recess Appt.,0,0,0,,,Not Rated,,54,42,263,171,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1950,1956,84TH,1,232,203,48,47,,1,81ST,Unified,263,171,54,42,1,0,1956,,,84TH,1,5890,4,663,0,0,108,3,3,,,,72,6,66,"Ainsworth, IA",663,0,0,108,3,3,,,,,,,,,,,1,,,,,,,,,,,,,,1,34,,,,,,,,,,,,,,,,,,1,
"Riner, John Alden","Riner, John Alden",,8,Eighth,12480,B. Harrison,Republican,1921,1850,1923,Harding,Retired,Republican,Entire State,Wyoming,"Cheyenne, WY",Male,White,September,1890,0,Same Party,,,,,0,,Not Recess Appt.,1,,0,,,Not Rated,,37,47,156,173,0,0,0,0,0,0,0,0,0,2,1,,,,,,,1890,1921,67TH,0,132,300,37,59,1,,51ST,Unified,156,173,37,47,1,0,1921,,,67TH,0,5918,9,0,2,2,54,0,1,,,,71,31,40,"Preble County, OH",0,2,2,54,0,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,1,,,,1,
"Ringo, Daniel","Ringo, Daniel",,9,Ninth,12483,Taylor,Other,1861,1803,1873,Lincoln,Resign/Abol-Civil War,Whig,East. & West,Arkansas,"Little Rock, AR",Male,White,November,1849,1,Not Two-Party,,,,,5729,,Conf. Recess Appt.,0,0,0,,,Not Rated,,35,0,112,0,0,0,0,0,109,25,0,0,,,1,,,,,,,1849,1861,37TH,0,42,106,11,31,28,7,31ST,"Divided, Both",112,109,35,25,9,2,1861,,,37TH,0,6056,2,0,2,2,108,3,3,,,,58,12,46,"Cross Plains, KY",0,2,2,108,3,3,,,1,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11/5/1849
"Rippey, Harlan Watson","Rippey, Harlan Watson",20224,2,Second,12500,F. Roosevelt,Democrat,1936,1874,1946,F. Roosevelt,Resigned,Democrat,Western,New York,"Rochester, NY",Male,White,June,1934,0,Same Party,,,,,60,,Not Recess Appt.,0,0,0,,,Not Rated,,59,36,313,117,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1934,1936,74TH,0,322,103,69,25,0,2,73RD,Unified,313,117,59,36,5,1,1936,,,74TH,0,6073,7,657,0,1,0,2,2,2,,,62,2,60,"Griegsville, NY",657,0,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,176,,,,,,,,,,,1,
"Ritter, Halsted Lockwood","Ritter, Halsted Lockwood",20557,5,Fifth,12510,Coolidge,Republican,1936,1868,,F. Roosevelt,Impeached/Removed,Republican,Southern,Florida,"West Palm Beach, FL",Male,White,February,1929,1,Same Party,,,,,1385,,Not Recess Appt.,0,0,0,,,Not Rated,,39,56,163,267,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1928,1936,74TH,0,322,103,69,25,0,2,70TH,Unified,195,237,47,48,3,1,1936,,,74TH,0,1445,9,185,1,1,185,1,1,15,2,,68,7,61,"Indiannapolis, IN",185,1,1,185,1,1,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Ritter, Willis William","Ritter, Willis William",11053,10,Tenth,12520,Truman,Democrat,1978,1899,1978,Carter,Died,Democrat,Entire State,Utah,"Salt Lake City, UT",Male,White,October,1949,0,Same Party,,,,,5820,,Conf. Recess Appt.,0,0,0,,,Not Rated,,54,42,263,171,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1949,1978,95TH,0,292,143,62,38,,,81ST,Unified,263,171,54,42,1,0,1978,,,95TH,0,4480,8,90,0,0,17,1,1,11,,,79,29,50,"Salt Lake City, UT",90,0,0,17,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,1,10/21/1949
"Rives, Alexander","Rives, Alexander",,4,Fourth,12526,Grant,Republican,1883,1806,1885,Arthur,Retired,Republican,Western,Virginia,"Charlottesville, VA",Male,White,February,1871,0,Same Party,,,,,0,,Not Recess Appt.,1,,0,,,Not Rated,,17,57,104,139,0,0,0,0,0,0,0,0,0,2,1,,,,,,,1870,1883,48TH,2,200,119,36,40,6,,41ST,Unified,73,170,11,61,0,0,1883,,,48TH,2,5957,2,0,2,2,0,2,2,,,,77,12,65,"Oakridge, VA",0,2,2,0,2,2,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
"Rizley, Ross","Rizley, Ross",11054,10,Tenth,12540,Eisenhower,Republican,1969,1892,1969,Nixon,Died,Republican,Western,Oklahoma,"Oklahoma City, OK",Male,White,April,1956,0,Same Party,,,,,17900,,Not Recess Appt.,0,0,0,,,9,,48,47,232,203,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1956,1969,91ST,1,243,192,58,42,,,84TH,"Divided, Both",232,203,48,47,0,1,1969,,,91ST,1,6085,10,0,2,2,666,1,,,,,77,13,64,"Bauer County, OK",0,2,2,666,1,,,,,,,,,,,,,,,,,,,,,,,1,12,,1,224,225,,1,,,,,1,,,,,,1,,,,1,
"Robart, James L.","Robart, James L.",,9,Ninth,30382,"Bush, 43",Republican,9999,1947,9999,Active Ser.,Active Service,Republican,Western,Washington,,Male,White,June,2004,3,Same Party,,,,,,,Not Recess Appt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,108TH,Unified,205,228,48,51,1,1,9999,,,,,,,,,,,,,,,,8052,7995,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roberts, Floyd H.","Roberts, Floyd H.",10484,4,Fourth,12570,F. Roosevelt,Democrat,1939,1907,1967,F. Roosevelt,Off. Term. or not Confirm,Democrat,Western,Virginia,,Male,White,July,1938,0,Same Party,,,,,0,,Unconf. Recess Appt.,1,,0,,,Not Rated,,75,17,333,89,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1938,1939,76TH,0,262,169,69,23,4,4,75TH,Unified,333,89,75,17,13,4,1939,,,76TH,0,6076,99,0,2,2,0,2,2,,,,32,1,31,"Bristol, VA",0,2,2,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7/6/1938
"Roberts, Jack","Roberts, Jack",20558,5,Fifth,12580,L.B. Johnson,Democrat,1980,1910,1988,Carter,Retired,Democrat,Western,Texas,"Austin, TX",Male,White,July,1966,0,Same Party,,,,,16760,,Not Recess Appt.,0,0,0,,,Well-Qual.,,68,32,295,140,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1966,1980,96TH,0,277,158,59,41,,,89TH,Unified,295,140,68,32,0,0,1980,,,96TH,0,5526,10,0,2,2,86,0,0,,,,70,14,56,"Sweetwater, TX",0,2,2,86,0,0,,,,1,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"Roberts, Victoria A.","Roberts, Victoria A.",,6,Sixth,30103,Clinton,Democrat,9999,1951,9999,Active Ser.,Active Service,Democrat,Eastern,Michigan,"Detroit, MI",Female,African American,June,1998,3,Same Party,,,,,,,Not Recess Appt.,,,,623633,,Well-Qual.,Qualified,,,,,,,,,,,,,,,,,,,,,,1998,,,,,,,,,,105TH,"Divided, Both",207,227,45,55,1,0,9999,,,,,2220,99,54,0,0,271,1,1,0,0,623633,8048,8001,47,"Detroit, MI",54,0,0,271,1,1,0,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,,,,,,,,,1,
"Roberts, Ross T.","Roberts, Ross T.",10878,8,Eighth,12590,Reagan,Republican,1987,1938,1988,Reagan,Died,Republican,Western,Missouri,"Kansas City, MO",Male,White,August,1982,0,Same Party,,,,,3605,,Not Recess Appt.,0,0,0,229897,,Well-Qual.,,46,53,243,192,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1982,1987,100TH,1,258,177,55,45,,,97TH,"Divided, House",243,192,47,53,0,0,1987,,,100TH,1,5271,7,185,1,1,57,0,0,,,229897,49,5,44,"Joplin, MO",185,1,1,57,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,
"Roberts, Richard W.","Roberts, Richard W.",,12,D.C.,30112,Clinton,Democrat,9999,1953,9999,Active Ser.,Active Service,Democrat,Entire State,D.C.,District of Columbia,Male,African American,June,1998,3,Same Party,,,,,,,Not Recess Appt.,,,,986087,,Qualified,,,,,,,,,,,,,,,,,,,,,,,1998,,,,,,,,,,105TH,"Divided, Both",207,227,45,55,1,0,9999,,,,,3260,2,213,1,1,20,1,1,30,,986087,8046,8001,45,"New York, NY",213,1,1,20,1,1,30,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,
"Robertson, James","Robertson, James",11270,12,D.C.,23770,Clinton,Democrat,9999,1938,9999,Active Ser.,Active Service,Democrat,Entire State,D.C.,2075,Male,White,October,1994,3,Same Party,16,17,e,,,,Not Recess Appt.,0,0,,1362666,,Well-Qual.,,56,44,259,176,0,0,0,0,0,0,0,0,,,1,,,,,,,1994,,,,,,,,,,103RD,Unified,258,176,57,43,1,0,9999,,,,,3530,99,111,1,1,34,1,1,0,0,1362666,8061,8005,56,"Cleveland, OH",111,1,1,34,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Robertson, Thomas Bolling","Robertson, Thomas Bolling",,13,Ind. District,12608,Monroe,Other,1828,1779,1828,J.Q. Adams,Died,Jeffersonian Democrat,Eastern,Louisiana,"New Orleans, LA",Male,White,May,1824,0,Not Two-Party,,,,,2466,,Not Recess Appt.,0,0,0,,,Not Rated,,0,0,0,0,26,4,187,44,0,0,0,0,,,1,,,,,,,1824,1828,20TH,2,94,119,20,28,,,18TH,Unified,187,26,44,4,0,0,1828,,,20TH,2,4669,2,0,2,2,108,3,3,,,,49,4,45,"Petersburg, VA",0,2,2,108,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,3,13,,,,,,,,,,,1,
"Robinson, Stephen C.","Robinson, Stephen C.",,2,Second,30383,"Bush, 43",Republican,9999,1957,9999,Active Ser.,Active Service,Republican,Southern,New York,,Male,African American,September,2003,3,Same Party,,,,,,,Not Recess Appt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,,,,,,,,,,108TH,Unified,205,228,48,51,1,1,9999,,,,,,,,,,,,,,,,8042,7996,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Robinson, Sue Lewis","Robinson, Sue Lewis",20367,3,Third,22320,"Bush, 41",Republican,9999,1952,9999,Active Ser.,Active Service,Republican,Entire State,Delaware,"Wilmington, DE",Female,White,November,1991,3,Same Party,,,,,12910,,Not Recess Appt.,0,0,0,286722,,Well-Qual.,,56,44,268,167,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1991,,,,,,,,,,102ND,"Divided, Both",267,165,56,44,1,0,9999,,,,,5400,7,132,0,0,68,1,1,,,286722,8047,8008,39,"Mt. Carmel, IL",132,0,0,68,1,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Robinson, Mary Lou","Robinson, Mary Lou",20559,5,Fifth,12630,Carter,Democrat,9999,1926,9999,Active Ser.,Active Service,Democrat,Northern,Texas,"Amarillo, TX",Female,White,April,1979,3,Same Party,,,,,0,,Not Recess Appt.,1,,0,226793,,Qualified,,58,41,277,158,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1979,,,,,,,,,,96TH,Unified,277,158,59,41,0,0,9999,,,,,5524,7,86,0,0,86,0,0,,,226793,8073,8020,53,"Dodge City, KS",86,0,0,86,0,0,,,,1,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Robinson, Richard E.","Robinson, Richard E.",10879,8,Eighth,12640,Eisenhower,Republican,1972,1903,1991,Nixon,Retired,Republican,Entire State,Nebraska,"Omaha, NE",Male,White,July,1956,0,Same Party,,,,,2535,,Not Recess Appt.,0,0,0,,,Qualified,,48,47,232,203,0,0,0,0,0,0,0,0,0,2,1,,,,,,,1956,1972,92ND,1,255,180,55,45,,,84TH,"Divided, Both",232,203,48,47,0,1,1972,,,92ND,1,2750,2,0,2,2,234,0,1,,,,69,16,53,"Omaha, NE",0,2,2,234,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Robinson, Julie A.","Robinson, Julie A.",,10,Tenth,30226,"Bush, 43",Republican,9999,,9999,Active Ser.,Active Service,Independent,Entire State,Kansas,,Female,African American,December,2001,3,Not Two-Party,,,,,,,Not Recess Appt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,,,,,,,,,,107TH,"Divided, Senate",212,221,50,50,2,1,9999,,,,,,,,,,,,,,,,,7998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Robinson, Spottswood W., III","Robinson, Spottswood W., III",11244,12,D.C.,12650,Kennedy,Democrat,1966,1916,1998,L.B. Johnson,Elevated,Democrat,Entire State,D.C.,District of Columbia,Male,African American,July,1964,0,Same Party,,,,,9970,Virginia,Conf. Recess Appt.,0,0,0,,,Well-Qual.,,67,33,258,176,0,0,0,0,0,0,0,0,,,1,,,,,,,1964,1966,89TH,0,295,140,68,32,,,88TH,Unified,258,176,67,33,1,0,1966,,,89TH,0,4675,2,0,2,2,116,0,1,,,,50,2,48,"Richmond, VA",0,2,2,116,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,230,,,,,,,,,,,,,,,,,1,1,1/6/1964
"Robinson, Aubrey E., Jr.","Robinson, Aubrey E., Jr.",11243,12,D.C.,12610,L.B. Johnson,Democrat,1992,1922,2000,"Bush, 41",Retired,Democrat,Entire State,D.C.,District of Columbia,Male,African American,October,1966,1,Same Party,,,,,8910,D.C.,Not Recess Appt.,0,0,0,,,Qualified,,68,32,295,140,0,0,0,0,0,0,0,0,,,1,,,,,,,1966,1992,102ND,1,267,165,56,44,1,,89TH,Unified,295,140,68,32,0,0,1992,,,102ND,1,5525,8,22,1,1,22,1,1,,,,70,26,44,"Madison, NJ",22,1,1,22,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Robreno, Eduardo C.","Robreno, Eduardo C.",20389,3,Third,22545,"Bush, 41",Republican,9999,1945,9999,Active Ser.,Active Service,Republican,Eastern,Pennsylvania,"Philadelphia, PA",Male,Hispanic,June,1992,3,Same Party,,,,,,,Not Recess Appt.,0,0,,213000,,Qualified,Well-Qual.,57,43,268,167,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1992,,,,,,,,,,102ND,"Divided, Both",267,165,56,44,1,0,9999,,,,,5173,4,530,1,0,71,1,0,2,,213000,8054,8007,47,"Havana, Cuba",530,1,0,71,1,0,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Robson, Edwin A.","Robson, Edwin A.",10781,7,Seventh,12670,Eisenhower,Republican,1975,1905,1986,Ford,Retired,Republican,Northern,Illinois,"Chicago, IL",Male,White,September,1958,0,Same Party,,,,,6780,,Conf. Recess Appt.,0,0,0,,,Well-Qual.,,64,34,283,153,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1958,1975,94TH,1,291,144,61,38,,,85TH,"Divided, Both",234,201,49,47,0,0,1975,,,94TH,1,1325,10,0,2,2,24,0,1,,,,70,17,53,"Chicago, IL",0,2,2,24,0,1,,,,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9/29/1958
"Roche, Michael Joseph","Roche, Michael Joseph",20962,9,Ninth,12680,F. Roosevelt,Democrat,1958,1878,1964,Eisenhower,Retired,Republican,Northern,California,"San Francisco, CA",Male,White,August,1935,0,Cross Party,,,,,6540,,Not Recess Appt.,0,0,0,,,Not Rated,,69,25,322,103,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1935,1958,85TH,1,234,201,49,47,,,74TH,Unified,322,103,69,25,0,2,1958,,,85TH,1,5522,4,0,2,2,91,1,1,,,,80,23,57,"County Waterford, Ireland",0,2,2,91,1,1,,,,1,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,
"Rodgers, Margaret Catharine","Rodgers, Margaret Catharine",,11,Eleventh,30384,"Bush, 43",Republican,9999,1964,9999,Active Ser.,Active Service,Republican,Northern,Florida,,Female,White,November,2003,3,Same Party,,,,,,,Not Recess Appt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,,,,,,,,,,108TH,Unified,205,228,48,51,1,1,9999,,,,,,,,,,,,,,,,8035,7996,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rodney, Richard Seymour","Rodney, Richard Seymour",20302,3,Third,12690,Truman,Democrat,1957,1882,1963,Eisenhower,Retired,Democrat,Entire State,Delaware,"Wilmington, DE",Male,White,July,1946,1,Same Party,,,,,0,,Not Recess Appt.,1,1,0,,,Not Rated,,57,38,243,190,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,1946,1957,85TH,1,234,201,49,47,,,79TH,Unified,243,190,57,38,2,1,1957,,,85TH,1,850,2,0,2,2,108,3,3,,,,75,11,64,"New Castle, DE",0,2,2,108,3,3,,,1,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,
"Rodriguez, Joseph H.","Rodriguez, Joseph H.",20303,3,Third,12700,Reagan,Republican,1998,1930,9999,Clinton,Retired,Democrat,Entire State,New Jersey,"Trenton, NJ",Male,Hispanic,May,1985,2,Cross Party,,,,,0,,Not Recess Appt.,1,,0,322951,,Excep. Well-Qual.,,47,53,253,182,0,0,0,0,0,0,0,0,2,0,1,,,,,,,1985,1998,105TH,1,207,227,45,55,1,,99TH,"Divided, House",253,182,47,53,0,0,1998,,,105TH,1,3020,4,528,1,1,72,0,0,,,322951,68,13,55,"Camden, NJ",528,1,1,72,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,55,,,,,,,,1,2,,1,
"Rodriguez, Xavier","Rodriguez, Xavier",,5,Fifth,30385,"Bush, 43",Republican,9999,1961,9999,Active Ser.,Active Service,Republican,Western,Texas,,Male,Hispanic,August,2003,3,Same Party,,,,,,,Not Recess Appt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,,,,,,,,,,108TH,Unified,205,228,48,51,1,1,9999,,,,,,,,,,,,,,,,8038,7996,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roettger, Norman C., Jr.","Roettger, Norman C., Jr.",20560,5,Fifth,12710,Nixon,Republican,1997,1930,9999,Clinton,Retired,Republican,Southern,Florida,"Miami, FL",Male,White,June,1972,2,Same Party,,,,,1335,,Not Recess Appt.,0,0,0,,,Qualified,,54,44,255,180,0,0,0,0,0,0,0,0,1,1,1,,,,,,,1972,1997,105TH,1,207,227,45,55,1,,92ND,"Divided, Both",255,180,55,45,0,0,1997,,,105TH,1,5521,7,65,1,0,141,1,1,,,,67,25,42,"Lucasville, OH",65,1,0,141,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,241,,,,,,,,,,,,,,,,,,11,
